"","PointID","Round","n","count","percent_grazed"
"1","BIBU075_15","2",82,18,21.9512195121951
"2","BIBU075_16","2",84,18,21.4285714285714
"3","BIBU075_17","2",68,11,16.1764705882353
"4","BIBU075_18","2",76,4,5.26315789473684
"5","BIBU076_15","2",77,5,6.49350649350649
"6","BIBU076_16","2",77,1,1.2987012987013
"7","BIBU076_17","2",82,5,6.09756097560976
"8","BIBU076_18","2",87,0,0
"9","BIBU077_15","2",82,3,3.65853658536585
"10","BIBU077_16","2",83,2,2.40963855421687
"11","BIBU077_17","2",69,17,24.6376811594203
"12","BIBU077_18","2",86,16,18.6046511627907
"13","BIBU078_15","2",68,2,2.94117647058824
"14","BIBU078_16","2",74,1,1.35135135135135
"15","BIBU078_17","2",78,5,6.41025641025641
"16","BIBU078_18","2",69,0,0
"17","BIBU079_15","2",55,12,21.8181818181818
"18","BIBU079_16","2",62,23,37.0967741935484
"19","BIBU079_18","2",59,23,38.9830508474576
"20","BIBU080_15","2",57,0,0
"21","BIBU080_16","2",70,6,8.57142857142857
"22","BIBU080_18","2",72,33,45.8333333333333
"23","BIBU081_15","2",55,7,12.7272727272727
"24","BIBU081_16","2",56,0,0
"25","BIBU082_15","2",65,0,0
"26","BIBU082_16","2",84,15,17.8571428571429
"27","BIBU082_18","2",66,33,50
"28","BIBU083_15","2",41,18,43.9024390243902
"29","BIBU083_16","2",30,15,50
"30","BIBU083_18","2",59,2,3.38983050847458
"31","BIBU084_15","2",56,7,12.5
"32","BIBU084_16","2",76,14,18.4210526315789
"33","BIBU084_17","2",72,9,12.5
"34","BIBU084_18","2",73,2,2.73972602739726
"35","BIBU085_15","2",85,4,4.70588235294118
"36","BIBU085_16","2",84,15,17.8571428571429
"37","BIBU085_17","2",74,1,1.35135135135135
"38","BIBU086_15","2",45,1,2.22222222222222
"39","BIBU086_16","2",43,0,0
"40","BIBU086_17","2",51,14,27.4509803921569
"41","BIBU086_18","2",63,12,19.047619047619
"42","BIBU087_15","2",59,18,30.5084745762712
"43","BIBU087_16","2",51,8,15.6862745098039
"44","BIBU087_18","2",59,26,44.0677966101695
"45","BIBU088_15","2",61,1,1.63934426229508
"46","BIBU088_16","2",71,5,7.04225352112676
"47","BIBU088_17","2",68,7,10.2941176470588
"48","BIBU088_18","2",73,3,4.10958904109589
"49","BIBU089_15","2",81,2,2.46913580246914
"50","BIBU089_16","2",77,0,0
"51","BIBU089_17","2",78,2,2.56410256410256
"52","BIBU089_18","2",79,8,10.126582278481
"53","BIBU090_15","2",81,6,7.40740740740741
"54","BIBU090_16","2",86,7,8.13953488372093
"55","BIBU090_17","2",81,11,13.5802469135802
"56","BIBU090_18","2",84,0,0
"57","BIBU091_15","2",81,2,2.46913580246914
"58","BIBU091_16","2",83,0,0
"59","BIBU092_15","2",78,3,3.84615384615385
"60","BIBU092_16","2",81,2,2.46913580246914
"61","BIBU092_17","2",81,0,0
"62","BIBU092_18","2",81,23,28.3950617283951
"63","BIBU093_15","2",27,1,3.7037037037037
"64","BIBU093_16","2",52,8,15.3846153846154
"65","BIBU093_17","2",50,4,8
"66","BIBU093_18","2",46,2,4.34782608695652
"67","BIBU094_15","2",39,0,0
"68","BIBU094_16","2",65,5,7.69230769230769
"69","BIBU094_17","2",72,6,8.33333333333333
"70","BIBU094_18","2",70,0,0
"71","BIBU095_17","2",67,2,2.98507462686567
"72","BIBU095_18","2",65,22,33.8461538461538
"73","BIBU096_16","2",69,8,11.5942028985507
"74","BIBU097_17","2",75,11,14.6666666666667
"75","BIBU097_18","2",63,2,3.17460317460317
"76","BIBU098_17","2",79,4,5.06329113924051
"77","BIBU098_18","2",84,4,4.76190476190476
"78","BIBU099_18","2",67,13,19.4029850746269
"79","BIBU100_16","2",83,59,71.0843373493976
"80","BIBU101_17","2",45,0,0
"81","BIBU101_18","2",70,17,24.2857142857143
"82","BIBU102_16","2",85,25,29.4117647058824
"83","BIBU102_17","2",77,1,1.2987012987013
"84","BIBU102_18","2",76,25,32.8947368421053
"85","BIBU103_16","2",72,12,16.6666666666667
"86","BIBU104_16","2",77,43,55.8441558441558
"87","BIBU105_17","2",61,2,3.27868852459016
"88","BIBU105_18","2",73,25,34.2465753424658
"89","BIBU106_16","2",83,7,8.43373493975904
"90","BIBU106_17","2",71,0,0
"91","BIBU106_18","2",74,21,28.3783783783784
"92","BIBU108_16","2",73,7,9.58904109589041
"93","BIBU110_16","2",50,8,16
"94","BIBU110_17","2",36,0,0
"95","BIBU110_18","2",60,16,26.6666666666667
"96","BIBU111_16","2",70,13,18.5714285714286
"97","BIBU111_17","2",65,0,0
"98","BIBU111_18","2",73,17,23.2876712328767
"99","BIBU112_16","2",79,25,31.6455696202532
"100","BIBU112_17","2",78,0,0
"101","BIBU112_18","2",85,26,30.5882352941176
"102","BIBU114_16","2",67,18,26.865671641791
"103","BIBU115_17","2",74,0,0
"104","BIBU116_16","2",78,3,3.84615384615385
"105","BIBU118_16","2",78,44,56.4102564102564
"106","BIBU120_16","2",58,1,1.72413793103448
"107","BIBU122_16","2",68,6,8.82352941176471
"108","BIBU124_17","2",60,0,0
"109","BIBU124_18","2",73,13,17.8082191780822
"110","BIBU125_16","2",76,5,6.57894736842105
"111","BIBU126_16","2",68,0,0
"112","BIBU130_16","2",78,2,2.56410256410256
"113","BIBU131_16","2",74,1,1.35135135135135
"114","BIBU134_16","2",69,16,23.1884057971014
"115","BIBU134_17","2",55,0,0
"116","BIBU134_18","2",64,28,43.75
"117","BIBU136_16","2",80,36,45
"118","BIBU136_17","2",63,0,0
"119","BIBU138_16","2",49,26,53.0612244897959
"120","BIBU138_17","2",68,0,0
"121","BIBU138_18","2",60,25,41.6666666666667
"122","BIBU140_18","2",76,1,1.31578947368421
"123","BIBU141_18","2",83,19,22.8915662650602
"124","BIBU148_17","2",77,0,0
"125","BIBU148_18","2",79,6,7.59493670886076
"126","BIBU153_16","2",65,3,4.61538461538461
"127","BIBU155_16","2",74,8,10.8108108108108
"128","BIBU157_16","2",75,15,20
"129","BIBU157_17","2",76,0,0
"130","BIBU157_18","2",80,36,45
"131","BIBU159_16","2",78,8,10.2564102564103
"132","BIBU159_17","2",83,1,1.20481927710843
"133","BIBU161_16","2",82,7,8.53658536585366
"134","BIBU161_17","2",71,0,0
"135","BIBU161_18","2",76,2,2.63157894736842
"136","BIBU163_16","2",72,7,9.72222222222222
"137","BIBU163_17","2",58,0,0
"138","BIBU163_18","2",73,15,20.5479452054795
"139","BIBU165_16","2",84,2,2.38095238095238
"140","BIBU167_16","2",86,3,3.48837209302326
"141","BIBU169_16","2",60,8,13.3333333333333
"142","BIBU169_17","2",64,0,0
"143","BIBU169_18","2",67,16,23.8805970149254
"144","BIBU171_16","2",56,10,17.8571428571429
"145","BIBU171_17","2",42,0,0
"146","BIBU171_18","2",58,20,34.4827586206897
"147","BIBU173_16","2",58,3,5.17241379310345
"148","BIBU173_17","2",51,0,0
"149","BIBU175_16","2",84,14,16.6666666666667
"150","BIBU175_17","2",79,1,1.26582278481013
"151","BIBU175_18","2",83,47,56.6265060240964
"152","BIBU176_16","2",86,1,1.16279069767442
"153","BIBU177_16","2",76,14,18.4210526315789
"154","BIBU177_17","2",75,0,0
"155","BIBU179_16","2",79,9,11.3924050632911
"156","BIBU181_16","2",74,13,17.5675675675676
"157","BIBU181_17","2",59,0,0
"158","BIBU182_16","2",79,4,5.06329113924051
"159","BIBU183_16","2",73,20,27.3972602739726
"160","BIBU183_17","2",64,0,0
"161","BIBU185_16","2",67,0,0
"162","BIBU185_17","2",63,0,0
"163","BIBU187_16","2",69,18,26.0869565217391
"164","BIBU187_17","2",61,0,0
"165","BIBU187_18","2",72,18,25
"166","BIBU189_16","2",50,9,18
"167","BIBU191_16","2",51,2,3.92156862745098
"168","BIBU193_16","2",74,13,17.5675675675676
"169","BIBU193_17","2",65,1,1.53846153846154
"170","BIBU194_16","2",67,2,2.98507462686567
"171","BIBU195_17","2",73,0,0
"172","BIBU195_18","2",79,17,21.5189873417722
"173","BIBU196_17","2",75,1,1.33333333333333
"174","BIBU197_17","2",71,0,0
"175","BIBU197_18","2",77,23,29.8701298701299
"176","BIBU198_17","2",64,7,10.9375
"177","BIBU199_17","2",66,1,1.51515151515152
"178","BIBU199_18","2",72,29,40.2777777777778
"179","BIBU200_17","2",55,0,0
"180","BIBU200_18","2",40,9,22.5
"181","BIBU201_17","2",71,1,1.40845070422535
"182","BIBU201_18","2",81,11,13.5802469135802
"183","BIBU202_17","2",76,0,0
"184","BIBU202_18","2",87,10,11.4942528735632
"185","BIBU209_17","2",66,0,0
"186","BIBU210_17","2",77,1,1.2987012987013
"187","BIBU210_18","2",86,58,67.4418604651163
"188","BIBU211_17","2",66,3,4.54545454545455
"189","BIBU211_18","2",78,28,35.8974358974359
"190","BIBU212_17","2",84,0,0
"191","BIBU212_18","2",83,19,22.8915662650602
"192","BIBU213_17","2",70,2,2.85714285714286
"193","BIBU213_18","2",73,31,42.4657534246575
"194","BIBU214_17","2",65,0,0
"195","BIBU214_18","2",72,36,50
"196","BIBU215_17","2",71,0,0
"197","BIBU215_18","2",71,27,38.0281690140845
"198","BIBU216_17","2",70,0,0
"199","BIBU216_18","2",78,20,25.6410256410256
"200","BIBU217_17","2",72,1,1.38888888888889
"201","BIBU217_18","2",75,27,36
"202","BIBU218_17","2",77,0,0
"203","BIBU218_18","2",79,42,53.1645569620253
"204","BIBU219_17","2",50,0,0
"205","BIBU219_18","2",69,20,28.9855072463768
"206","BIBU220_17","2",64,1,1.5625
"207","BIBU220_18","2",74,28,37.8378378378378
"208","BIBU221_17","2",75,1,1.33333333333333
"209","BIBU221_18","2",80,24,30
"210","BIBU222_17","2",59,0,0
"211","BIBU222_18","2",82,23,28.0487804878049
"212","BIBU234_18","2",67,11,16.4179104477612
"213","BIBU235_18","2",67,2,2.98507462686567
"214","BIBU236_18","2",80,7,8.75
"215","BIBU237_18","2",78,3,3.84615384615385
"216","BIBU239_18","2",67,0,0
"217","BIBU240_18","2",72,6,8.33333333333333
"218","BIBU241_18","2",60,1,1.66666666666667
"219","BIBU242_18","2",84,2,2.38095238095238
"220","BIBU243_18","2",78,3,3.84615384615385
"221","BIBU244_18","2",72,0,0
"222","BIBU245_18","2",69,12,17.3913043478261
"223","BIBU246_15","2",63,15,23.8095238095238
"224","BIBU246_18","2",74,18,24.3243243243243
"225","BIBU247_15","2",68,8,11.7647058823529
"226","BIBU247_18","2",82,1,1.21951219512195
"227","BIBU250_15","2",43,3,6.97674418604651
"228","BIBU250_18","2",82,19,23.1707317073171
"229","BIBU254_15","2",65,14,21.5384615384615
"230","BIBU254_18","2",71,2,2.8169014084507
"231","BIBU255_15","2",55,2,3.63636363636364
"232","BIBU255_18","2",78,0,0
"233","BIBU256_15","2",75,0,0
"234","BIBU256_18","2",79,1,1.26582278481013
"235","BIBU264_15","2",64,12,18.75
"236","BIBU264_18","2",75,2,2.66666666666667
"237","BIBU269_18","2",74,1,1.35135135135135
"238","BIBU270_15","2",67,31,46.2686567164179
"239","BIBU271_15","2",34,13,38.2352941176471
"240","BIBU272_15","2",33,14,42.4242424242424
"241","BIBU273_15","2",69,1,1.44927536231884
"242","BIBU274_15","2",68,5,7.35294117647059
"243","BIBU275_15","2",64,1,1.5625
"244","BIBU276_15","2",70,27,38.5714285714286
"245","BIBU277_15","2",66,4,6.06060606060606
"246","BIBU278_15","2",20,3,15
"247","BIBU279_15","2",66,2,3.03030303030303
"248","BIBU280_15","2",56,3,5.35714285714286
"249","BIBU281_15","2",77,17,22.0779220779221
"250","BIBU282_15","2",35,4,11.4285714285714
"251","BIBU287_15","2",74,4,5.40540540540541
"252","BIBU289_15","2",21,14,66.6666666666667
"253","BIBU290_15","2",78,4,5.12820512820513
"254","BIBU291_15","2",68,6,8.82352941176471
"255","BIBU292_15","2",63,3,4.76190476190476
"256","BIBU293_15","2",32,3,9.375
"257","BIBU294_15","2",82,1,1.21951219512195
"258","BIBU295_15","2",72,2,2.77777777777778
"259","BIBU296_15","2",73,9,12.3287671232877
"260","BIBU297_15","2",64,10,15.625
"261","BIBU298_15","2",65,13,20
"262","BIBU299_15","2",64,6,9.375
"263","BIBU300_15","2",70,16,22.8571428571429
"264","BIBU301_15","2",46,23,50
"265","BIBU302_15","2",71,3,4.22535211267606
"266","BIBU303_15","2",74,15,20.2702702702703
"267","BIBU304_15","2",49,4,8.16326530612245
"268","BIBU305_15","2",42,12,28.5714285714286
"269","BIBU306_15","2",79,20,25.3164556962025
"270","BIBU307_15","2",75,9,12
"271","BRBE075_15","2",45,4,8.88888888888889
"272","BRBE075_16","2",76,2,2.63157894736842
"273","BRBE075_17","2",61,7,11.4754098360656
"274","BRBE075_18","2",66,0,0
"275","BRBE076_15","2",44,7,15.9090909090909
"276","BRBE076_16","2",68,2,2.94117647058824
"277","BRBE076_17","2",71,22,30.9859154929577
"278","BRBE076_18","2",69,0,0
"279","BRBE077_15","2",52,0,0
"280","BRBE078_15","2",49,4,8.16326530612245
"281","BRBE078_16","2",55,0,0
"282","BRBE078_17","2",58,16,27.5862068965517
"283","BRBE078_18","2",57,0,0
"284","BRBE079_15","2",43,3,6.97674418604651
"285","BRBE079_16","2",58,0,0
"286","BRBE079_17","2",55,10,18.1818181818182
"287","BRBE079_18","2",57,0,0
"288","BRBE080_15","2",42,0,0
"289","BRBE080_16","2",40,1,2.5
"290","BRBE080_17","2",41,0,0
"291","BRBE080_18","2",42,0,0
"292","BRBE081_15","2",38,0,0
"293","BRBE081_16","2",65,0,0
"294","BRBE081_17","2",62,5,8.06451612903226
"295","BRBE081_18","2",55,0,0
"296","BRBE082_15","2",43,3,6.97674418604651
"297","BRBE082_16","2",58,3,5.17241379310345
"298","BRBE082_17","2",55,5,9.09090909090909
"299","BRBE082_18","2",60,1,1.66666666666667
"300","BRBE083_15","2",53,0,0
"301","BRBE083_16","2",85,3,3.52941176470588
"302","BRBE083_17","2",78,12,15.3846153846154
"303","BRBE083_18","2",86,0,0
"304","BRBE084_15","2",45,9,20
"305","BRBE084_16","2",64,4,6.25
"306","BRBE084_17","2",67,15,22.3880597014925
"307","BRBE084_18","2",67,1,1.49253731343284
"308","BRBE085_16","2",57,1,1.75438596491228
"309","BRBE085_17","2",66,10,15.1515151515152
"310","BRBE085_18","2",70,0,0
"311","BRBE086_15","2",53,0,0
"312","BRBE086_16","2",42,2,4.76190476190476
"313","BRBE086_17","2",51,10,19.6078431372549
"314","BRBE086_18","2",50,0,0
"315","BRBE087_15","2",54,0,0
"316","BRBE087_16","2",35,2,5.71428571428571
"317","BRBE087_17","2",36,0,0
"318","BRBE087_18","2",72,5,6.94444444444444
"319","BRBE088_15","2",55,0,0
"320","BRBE088_16","2",56,0,0
"321","BRBE088_17","2",55,10,18.1818181818182
"322","BRBE088_18","2",58,0,0
"323","BRBE089_15","2",56,0,0
"324","BRBE089_16","2",54,2,3.7037037037037
"325","BRBE089_17","2",55,10,18.1818181818182
"326","BRBE089_18","2",57,0,0
"327","BRBE090_15","2",48,0,0
"328","BRBE090_16","2",74,0,0
"329","BRBE090_17","2",72,20,27.7777777777778
"330","BRBE090_18","2",74,0,0
"331","BRBE091_15","2",55,0,0
"332","BRBE091_16","2",58,0,0
"333","BRBE091_17","2",56,14,25
"334","BRBE091_18","2",60,0,0
"335","BRBE092_15","2",52,3,5.76923076923077
"336","BRBE092_16","2",59,1,1.69491525423729
"337","BRBE092_18","2",60,0,0
"338","BRBE093_15","2",52,0,0
"339","BRBE093_16","2",73,0,0
"340","BRBE093_17","2",70,18,25.7142857142857
"341","BRBE093_18","2",61,1,1.63934426229508
"342","BRBE094_15","2",46,6,13.0434782608696
"343","BRBE094_16","2",72,1,1.38888888888889
"344","BRBE094_17","2",74,19,25.6756756756757
"345","BRBE094_18","2",70,9,12.8571428571429
"346","BRBE095_15","2",43,3,6.97674418604651
"347","BRBE095_16","2",46,1,2.17391304347826
"348","BRBE095_17","2",70,1,1.42857142857143
"349","BRBE095_18","2",68,0,0
"350","BRBE100_15","2",31,4,12.9032258064516
"351","BRBE100_16","2",59,2,3.38983050847458
"352","BRBE100_17","2",58,3,5.17241379310345
"353","BRBE100_18","2",64,0,0
"354","BRBE101_15","2",70,14,20
"355","BRBE101_16","2",67,2,2.98507462686567
"356","BRBE101_17","2",64,3,4.6875
"357","BRBE101_18","2",78,0,0
"358","BRBE102_15","2",82,21,25.609756097561
"359","BRBE102_16","2",84,7,8.33333333333333
"360","BRBE102_17","2",66,1,1.51515151515152
"361","BRBE102_18","2",85,0,0
"362","BRBE103_15","2",57,8,14.0350877192982
"363","BRBE103_16","2",49,4,8.16326530612245
"364","BRBE103_17","2",58,14,24.1379310344828
"365","BRBE103_18","2",61,0,0
"366","BRBE104_15","2",59,18,30.5084745762712
"367","BRBE104_16","2",56,2,3.57142857142857
"368","BRBE104_17","2",58,8,13.7931034482759
"369","BRBE104_18","2",64,0,0
"370","BRBE105_15","2",58,12,20.6896551724138
"371","BRBE105_16","2",48,4,8.33333333333333
"372","BRBE105_17","2",58,9,15.5172413793103
"373","BRBE105_18","2",60,2,3.33333333333333
"374","BRBE106_15","2",51,10,19.6078431372549
"375","BRBE106_16","2",54,0,0
"376","BRBE106_17","2",73,0,0
"377","BRBE106_18","2",79,0,0
"378","BRBE107_15","2",52,11,21.1538461538462
"379","BRBE107_16","2",68,9,13.2352941176471
"380","BRBE107_17","2",65,3,4.61538461538461
"381","BRBE107_18","2",69,0,0
"382","BRBE108_15","2",79,22,27.8481012658228
"383","BRBE108_16","2",81,5,6.17283950617284
"384","BRBE108_17","2",73,1,1.36986301369863
"385","BRBE108_18","2",79,1,1.26582278481013
"386","BRBE109_15","2",51,2,3.92156862745098
"387","BRBE109_16","2",50,11,22
"388","BRBE109_17","2",54,3,5.55555555555556
"389","BRBE109_18","2",49,1,2.04081632653061
"390","BRBE110_15","2",79,5,6.32911392405063
"391","BRBE110_16","2",81,7,8.64197530864197
"392","BRBE110_17","2",85,11,12.9411764705882
"393","BRBE110_18","2",84,1,1.19047619047619
"394","BRBE111_15","2",68,38,55.8823529411765
"395","BRBE111_16","2",58,2,3.44827586206897
"396","BRBE111_17","2",60,0,0
"397","BRBE111_18","2",69,0,0
"398","BRBE112_15","2",52,14,26.9230769230769
"399","BRBE112_16","2",64,12,18.75
"400","BRBE112_17","2",71,6,8.45070422535211
"401","BRBE112_18","2",74,0,0
"402","BRBE113_15","2",52,15,28.8461538461538
"403","BRBE113_16","2",66,1,1.51515151515152
"404","BRBE113_18","2",79,2,2.53164556962025
"405","BRBE114_15","2",74,26,35.1351351351351
"406","BRBE114_16","2",77,4,5.19480519480519
"407","BRBE114_17","2",71,4,5.63380281690141
"408","BRBE114_18","2",83,0,0
"409","BRBE115_15","2",38,6,15.7894736842105
"410","BRBE115_16","2",38,9,23.6842105263158
"411","BRBE115_17","2",42,9,21.4285714285714
"412","BRBE115_18","2",42,0,0
"413","BRBE116_15","2",81,12,14.8148148148148
"414","BRBE116_16","2",77,2,2.5974025974026
"415","BRBE116_17","2",81,13,16.0493827160494
"416","BRBE116_18","2",84,1,1.19047619047619
"417","BRBE117_15","2",71,7,9.85915492957746
"418","BRBE117_16","2",72,9,12.5
"419","BRBE117_17","2",66,6,9.09090909090909
"420","BRBE117_18","2",71,0,0
"421","BRBE118_15","2",55,16,29.0909090909091
"422","BRBE118_16","2",71,2,2.8169014084507
"423","BRBE118_17","2",70,3,4.28571428571429
"424","BRBE118_18","2",75,1,1.33333333333333
"425","BRBE119_15","2",58,18,31.0344827586207
"426","BRBE119_16","2",69,3,4.34782608695652
"427","BRBE119_17","2",74,5,6.75675675675676
"428","BRBE119_18","2",63,0,0
"429","BRBE125_17","2",45,5,11.1111111111111
"430","BRBE126_15","2",25,1,4
"431","BRBE127_15","2",24,0,0
"432","BRBE128_15","2",40,8,20
"433","BRBE128_16","2",51,8,15.6862745098039
"434","BRBE129_15","2",32,9,28.125
"435","BRBE130_15","2",41,0,0
"436","BRBE131_17","2",35,20,57.1428571428571
"437","BRBE133_15","2",44,2,4.54545454545455
"438","BRBE134_15","2",46,0,0
"439","BRBE135_15","2",25,0,0
"440","BRBE137_15","2",26,0,0
"441","BRBE137_16","2",27,1,3.7037037037037
"442","BRBE137_17","2",24,0,0
"443","BRBE138_15","2",37,3,8.10810810810811
"444","BRBE138_17","2",51,1,1.96078431372549
"445","BRBE139_15","2",31,0,0
"446","BRBE139_16","2",46,10,21.7391304347826
"447","BRBE139_17","2",51,2,3.92156862745098
"448","BRBE140_15","2",55,3,5.45454545454545
"449","BRBE141_15","2",51,0,0
"450","BRBE141_16","2",51,13,25.4901960784314
"451","BRBE141_17","2",46,13,28.2608695652174
"452","BRBE141_18","2",54,0,0
"453","BRBE142_15","2",54,0,0
"454","BRBE142_17","2",54,24,44.4444444444444
"455","BRBE143_15","2",57,0,0
"456","BRBE143_16","2",53,25,47.1698113207547
"457","BRBE143_17","2",52,15,28.8461538461538
"458","BRBE144_15","2",50,1,2
"459","BRBE144_17","2",58,4,6.89655172413793
"460","BRBE145_15","2",50,0,0
